"Inspection date";"ID Code";"Status";"Errors";"Warnings";"Duration (s)";"Review (s)";"Smema (s)";"Operator";"Review status";"Review operator";"Squeegee direction";"Batch";"Lot";"Iteration";"Error type";"Variant";
2025-10-25 05:22:24;E20251025T052255;Good;0;0;160.0;0.0;0.8;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:21:29;2002626925;Good;0;0;28.0;0.0;19.8;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:20:11;2002626926;Good;0;0;33.2;0.0;38.0;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:19:36;2002626927;Warn;0;3;28.0;0.0;0.8;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:18:54;2002626928;Warn;0;24;34.2;0.0;0.6;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:17:02;E20251025T051738;Good;0;0;105.9;0.0;0.8;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:16:03;2002626930;Warn;0;15;36.1;0.0;15.4;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:15:05;2002626931;Good;0;0;35.9;0.0;16.2;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:14:04;2002626932;Good;0;0;36.9;0.0;17.0;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:13:07;2002626933;Warn;0;1;37.0;0.0;13.3;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:12:06;2002626934;Good;0;0;36.9;0.0;17.5;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:10:40;2002626935;NoGood;1;0;34.2;28.8;17.4;install;Pass;install;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:09:03;2002626936;Good;0;0;28.0;0.0;62.2;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:08:03;2002626937;Good;0;0;32.4;0.0;20.3;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:06:47;2002626938;Good;0;0;29.8;0.0;39.3;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:05:48;2002626714;Good;0;0;35.9;0.0;16.5;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:04:51;2002626715;Warn;0;2;32.4;0.0;18.2;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:03:53;2002626716;Warn;0;3;31.5;0.0;20.1;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:02:56;2002626717;Warn;0;1;29.7;0.0;20.6;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:01:56;2002626718;Warn;0;1;35.9;0.0;17.0;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:01:01;2002626719;Warn;0;17;30.6;0.0;18.0;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:58:38;2002626720;NoGood;1;8;30.7;7.8;98.7;install;Pass;install;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:57:41;2002626721;Warn;0;1;30.6;0.0;19.8;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:56:12;2002626722;Good;0;0;28.1;0.0;53.4;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:55:15;2002626723;Warn;0;1;28.9;0.0;22.2;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:54:17;2002626724;Good;0;0;35.1;0.0;15.2;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:53:20;2002626725;Warn;0;14;36.0;0.0;15.1;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:52:43;2002626726;Warn;0;1;28.0;0.0;2.4;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:52:04;2002626727;Warn;0;6;30.6;0.0;0.6;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:49:56;2002626728;Good;0;0;30.7;0.0;91.0;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:49:18;2002626729;Warn;0;27;29.7;0.0;1.2;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:48:36;2002626730;Good;0;0;35.2;0.0;0.7;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:47:53;2002626731;Warn;0;2;35.1;0.0;0.7;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:47:10;2002626732;Good;0;0;35.9;0.0;0.7;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:46:34;2002626733;Warn;0;3;28.0;0.0;0.6;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:44:05;E20251025T044439;Good;0;0;142.6;0.0;0.8;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:43:04;E20251025T044334;Good;0;0;46.1;0.0;9.4;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:42:04;2002626707;Good;0;0;28.0;0.0;25.4;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:41:04;2002626708;Warn;0;1;33.3;0.0;19.7;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:40:05;2002626709;Good;0;0;28.0;0.0;25.4;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:39:07;2002626710;Good;0;0;32.4;0.0;17.9;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:37:36;2002626711;Good;0;0;33.3;0.0;51.5;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:36:53;2002626712;Good;0;0;35.1;0.0;0.6;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:34:41;2002626713;Good;0;0;28.0;0.0;96.7;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:33:43;2002626687;Good;0;0;28.0;0.0;23.6;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:32:44;2002626688;Good;0;0;28.9;0.0;23.3;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:31:51;2002626689;Good;0;0;35.9;0.0;10.2;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:31:14;2002626690;Good;0;0;29.8;0.0;0.7;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:30:36;2002626691;Good;0;0;30.6;0.0;0.8;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:30:00;2002626692;Good;0;0;28.0;0.0;0.6;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:28:57;2002626693;NoGood;9;21;32.4;24.6;0.9;install;Pass;install;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:28:22;2002626694;Warn;0;4;28.0;0.0;0.6;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:22:01;2002626695;Warn;0;24;30.6;0.0;342.9;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:21:25;2002626696;Warn;0;4;28.9;0.0;0.7;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:20:49;2002626697;Warn;0;15;28.0;0.0;0.7;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:20:07;2002626698;Warn;0;7;35.1;0.0;0.7;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:19:24;2002626699;Warn;0;30;35.4;0.0;0.6;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:17:01;2002626700;NoGood;6;23;31.7;105.1;0.8;install;Pass;install;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:16:04;2002626701;Good;0;0;35.1;0.0;15.4;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:15:14;2002626702;Good;0;0;35.1;0.0;8.0;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:14:07;E20251025T041440;Warn;0;2;60.0;0.0;0.8;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:13:10;2002626704;Good;0;0;30.6;0.0;19.8;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:11:46;2002626675;Warn;0;10;35.0;0.0;42.3;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:11:02;2002626676;Warn;0;1;33.2;0.0;4.2;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:09:22;2002626677;NoGood;3;27;35.0;58.7;0.8;install;Pass;install;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:08:20;2002626678;Warn;0;1;28.1;0.0;27.6;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 04:07:42;2002626679;Warn;0;28;29.7;0.0;0.8;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
